"","20210326_31020935670_21R4973AZZA_03.RCC","20210326_31020935670_21R6065AZZA_02.RCC","20210326_31020935670_21R6805AZZA_09.RCC","20210326_31020935670_21R7500AZZA_04.RCC","20210326_31020935670_21R7511AZZA_01.RCC","20210326_31020935670_21R7772AZZA_05.RCC","20210326_31020935670_21R9253AZZA_07.RCC","20210326_31020935670_21R9387AZZA_08.RCC","20210623_208994081021_RN21R3425AZZAA_11.RCC","20210623_208994081021_RN21R3996AZZAB_10.RCC","20210623_208994081021_RN21R5653AZZAB_09.RCC","20210623_208994081021_RN21R6723AZZAB_01.RCC","20210623_208994081021_RN21R7618AZZAB_04.RCC","20210623_208994081021_RN21R7921AZZAA_05.RCC","20210623_208994081021_RN21R9370AZZAB_03.RCC","20210623_208994081021_RN21R9727AZZAA_08.RCC","20210623_208994081021_RN21R9918AZZCA_02.RCC","20220624_209393930622_RN21R2533AZZAA_07.RCC","20220624_209393930622_RN21R2960AZZAA_09.RCC","20220624_209393930622_RN21R2966AZZAA_12.RCC","20220624_209393930622_RN21R3890AZZAA_11.RCC","20220624_209393930622_RN21R5628AZZAA_10.RCC","20220624_209393930622_RN21R8427AZZAA_06.RCC","20220624_209393930622_RN21R9372AZZAA_08.RCC","20220727_209421330722_RN21R3807AZZAA_03.RCC","20220727_209421330722_RN21R5295AZZBA_01.RCC","20220727_209421330722_RN21R8948AZZAA_02.RCC"
"TNFRSF8",2.543,2.151,0.294,2.319,0.964,3.979,1.533,3.662,3.1,4.445,6.648,3.194,2.827,3.91,3.741,6.463,1.58,5.835,4.151,4.244,3.024,5.628,3.843,3.593,8.389,2.81,2.947
"TNFRSF9",4.244,5.884,4.22,4.149,-0.036,4.649,4.171,5.616,2.948,2.874,5.57,7.083,4.952,5.094,6.387,6.048,2.934,6.301,4.414,5.466,6.212,5.82,5.65,5.13,6.701,5.81,7.401
"TNFSF10",10.257,9.616,7.134,6.407,9.943,8.773,11.255,8.765,10.481,8.72,9.843,12.481,12.188,10.195,9.717,11.497,9.51,9.89,9.28,11.453,9.489,11.245,9.683,7.538,9.66,9.15,10.405
"TNFSF12",8.355,7.439,6.963,8.548,6.579,8.393,7.155,8.403,7.37,7.179,9.884,8.745,9.615,8.677,8.885,8.949,8.1,9.482,5.999,8.719,8.516,6.908,7.98,9.571,7.99,8.365,8.344
"TNFSF13",6.853,6.312,4.74,6.319,5.508,7.899,5.948,8.178,7.485,6.736,9.657,6.927,8.791,7.484,6.992,9.37,6.047,9.013,7.958,7.492,7.849,9.059,8.128,9.398,9.74,8.058,7.964
"TNFSF13B",5.088,4.064,4.464,4.957,4.445,5.164,5.831,5.662,5.392,4.822,7.609,6.614,6.389,6.321,6.112,7.141,6.625,6.531,5.288,6.016,5.984,6.405,5.879,6.154,8.338,7.854,5.153
"TNFSF18",3.351,3.922,3.949,5.575,3.286,3.979,1.948,4.247,2.1,3.954,5.859,5.428,3.827,4.45,2.387,4.726,5.152,3.443,4.151,5.302,5.281,5.521,4.769,4.857,7.779,5.132,5.55
"TNFSF4",4.602,4.172,3.994,5.592,4.855,5.301,3.756,5.054,5.063,4.8,7.044,5.334,4.321,6.826,3.677,5.949,5.293,6.35,5.736,4.907,6.569,4.99,5.73,5.026,7.618,6.717,6.456
"TNFSF8",5.108,3.587,3.398,3.149,3.805,4.564,3.721,4.91,4.1,5.59,6.924,6.522,6.444,4.974,4.709,6.533,4.111,6.028,5.414,5.359,6.176,6.344,5.379,6.681,8.66,7.764,4.831
"TNFSF9",3.865,3.587,2.879,4.822,2.187,5.427,3.408,7.604,4.685,2.5,7.1,2.346,3.615,4.91,4.503,5.842,2.803,5.028,5.529,5.907,5.712,6.405,6.136,4.915,7.338,3.81,4.334
"TNKS",7.631,7.865,9.171,9.231,8.795,8.581,9.296,7.781,7.755,7.812,8.444,8.58,7.91,8.684,7.294,7.533,7.843,8.276,8.057,7.944,8.238,7.703,8.671,9.257,7.438,9.132,8.085
